DATE,EXTAUS
1984-01-01,39.6454166666666667
1985-01-01,39.8973666666666667
1986-01-01,37.8903833333333333
1987-01-01,31.9008666666666667
1988-01-01,28.6372166666666667
1989-01-01,26.4235083333333333
1990-01-01,26.8942416666666667
1991-01-01,26.8172666666666667
1992-01-01,25.1635250000000000
1993-01-01,26.3855500000000000
1994-01-01,26.4612083333333333
1995-01-01,26.4994416666666667
1996-01-01,27.4702416666666667
1997-01-01,28.7904166666666667
1998-01-01,33.5373416666666667
1999-01-01,32.3182333333333333
2000-01-01,31.2689416666666667
2001-01-01,33.8253250000000000
2002-01-01,34.5440083333333333
2003-01-01,34.4048083333333333
2004-01-01,33.3801000000000000
2005-01-01,32.1468083333333333
2006-01-01,32.5059750000000000
2007-01-01,32.8510083333333333
2008-01-01,31.5375833333333333
2009-01-01,33.0227416666666667
2010-01-01,31.4919500000000000
2011-01-01,29.3895583333333333
2012-01-01,29.5539750000000000
2013-01-01,29.6772416666666667
2014-01-01,30.3058333333333333
2015-01-01,31.7504500000000000
2016-01-01,32.2373916666666667
2017-01-01,30.4117333333333333
2018-01-01,30.1347333333333333
2019-01-01,30.8991166666666667
2020-01-01,29.4475166666666667
2021-01-01,27.9339166666666667
2022-01-01,29.7965083333333333
2023-01-01,31.1480416666666667
